Idcomu,Comunidad,Total,Varones,Mujeres
1,Andalucía,"8449985.0","4180285.0","4269700.0",
2,Aragón,"1349467.0","671898.0","677569.0",
3,Asturias (Principado de),"1077360.0","516420.0","560940.0",
4,Balears (Illes),"1119439.0","560091.0","559348.0",
5,Canarias,"2118344.0","1056240.0","1062104.0",
6,Cantabria,"593861.0","289999.0","303862.0",
7,Castilla y León,"2546078.0","1261141.0","1284937.0",
8,Castilla - La Mancha,"2121888.0","1069648.0","1052240.0",
9,Cataluña,"7570908.0","3741628.0","3829280.0",
10,Comunitat Valenciana,"5129266.0","2546404.0","2582862.0",
11,Extremadura,"1108130.0","550324.0","557806.0",
12,Galicia,"2781498.0","1343328.0","1438170.0",
13,Madrid (Comunidad de),"6498560.0","3130241.0","3368319.0",
14,Murcia (Región de),"1474449.0","742727.0","731722.0",
15,Navarra; Comunidad Foral de,"644566.0","321453.0","323113.0",
16,País Vasco,"2193093.0","1070438.0","1122655.0",
17,Rioja (La),"323609.0","161574.0","162035.0",
18,Ceuta,"84018.0","42948.0","41070.0",
19,Melilla,"80802.0","41569.0","39233.0",
